name,type,actor_class,city,country,lat,lon,focus_areas,founded_year,description,website,email,source
Lima Cómo Vamos,Observatory,institution,Lima,Peru,-12.0464,-77.0428,Governance;Public Space;Housing,2010,Citizen observatory tracking urban quality of life in Lima through independent indicators and annual surveys.,https://www.limacomovamos.org,contacto@limacomovamos.org,americasquarterly.org
Ocupa tu Calle,Collective,civil_society,Lima,Peru,-12.0464,-77.0428,Public Space;Governance,2014,Citizen urbanism initiative activating neglected public spaces through community-led tactical interventions. UN-Habitat & Avina supported.,https://ocupatucalle.com,hola@ocupatucalle.com,urbanagendaplatform.org
Sistema Urbano,Network,institution,Lima,Peru,-12.0464,-77.0428,Governance;Public Space;Climate;Housing;Mobility,2019,"Latin American ecosystem of urban projects led by Mariana Alegre Escorza; coordinates Lima Cómo Vamos, Ocupa tu Calle, Clima Urbano and Nodal.",https://sistemaurbano.org,hola@sistemaurbano.org,sistemaurbano.org
Nodal,Network,institution,Lima,Peru,-12.0464,-77.0428,Governance;Public Space;Climate,2022,"Latin American Urban Nodes — a community of collective urbanism connecting professionals, students, public workers and activists across the region.",https://sistemaurbano.org/nodal,nodal@sistemaurbano.org,sistemaurbano.org
Clima Urbano,Program,institution,Lima,Peru,-12.0464,-77.0428,Climate;Public Space,2021,Urban climate action program within the Sistema Urbano ecosystem focused on climate adaptation at the neighborhood scale.,https://sistemaurbano.org,clima@sistemaurbano.org,sistemaurbano.org
Bogotá Cómo Vamos,Observatory,institution,Bogotá,Colombia,4.711,-74.0721,Governance;Mobility;Housing,1998,Founding member of the Cómo Vamos network; monitors quality of life indicators across Bogotá since 1998.,https://bogotacomovamos.org,contacto@bogotacomovamos.org,redcomovamos.org
Medellín Cómo Vamos,Observatory,institution,Medellín,Colombia,6.2442,-75.5812,Governance;Public Space;Mobility,2006,Citizen monitoring of Medellín's urban transformation and the city's internationally recognised social urbanism model.,https://www.medellincomovamos.org,info@medellincomovamos.org,redcomovamos.org
Cali Cómo Vamos,Observatory,institution,Cali,Colombia,3.4516,-76.532,Governance;Public Space,2005,Quality-of-life observatory for Cali and its metropolitan area; independent indicators and citizen perception surveys.,https://www.calicomovamos.org.co,info@calicomovamos.org.co,redcomovamos.org
Barranquilla Cómo Vamos,Observatory,institution,Barranquilla,Colombia,10.9685,-74.7813,Governance;Climate,2007,Citizen observatory monitoring urban quality in Barranquilla with growing attention to climate and coastal issues.,https://barranquillacomovamos.co,info@barranquillacomovamos.co,redcomovamos.org
Cartagena Cómo Vamos,Observatory,institution,Cartagena,Colombia,10.391,-75.4794,Governance;Housing;Climate,2005,Observatory tracking indicators in Cartagena with a focus on inequality and coastal vulnerability.,https://www.cartagenacomovamos.org,contacto@cartagenacomovamos.org,redcomovamos.org
